name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Amazon Brand - Symactive Men's Regular Fit T-Shirt,sports & fitness,Running,https://m.media-amazon.com/images/I/7148IlzWBVL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-T-Shirt-AW17-SYSP-03B_Medium_Viridian/dp/B071GTQH6K/ref=sr_1_313?qid=1679217352&s=sports&sr=1-313,4.0,"2,908",₹309,₹999
Jockey Mens Slub Casual Track Pant,sports & fitness,Running,https://m.media-amazon.com/images/I/61S5skYN95L._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-Track-9510_Navy-Blue_Medium/dp/B01EUQMK5M/ref=sr_1_314?qid=1679217352&s=sports&sr=1-314,4.1,"5,550","₹1,186","₹1,399"
ASIAN Men's Skypee-162 Casual Sneaker Lightweight Lace-up Shoes for Men's & Boy's,sports & fitness,Running,https://m.media-amazon.com/images/I/61O41FwCQFL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Skypy-162-Black-Casual-Shoes/dp/B07BZF3N1J/ref=sr_1_315?qid=1679217352&s=sports&sr=1-315,3.8,"4,379",₹459,₹699
Campus Mens Jasper Running Shoes,sports & fitness,Running,https://m.media-amazon.com/images/I/610+hWjuh1L._AC_UL320_.jpg,https://www.amazon.in/Campus-Jasper-Running-Shoes-8-5G-710/dp/B082WXDZ55/ref=sr_1_316?qid=1679217352&s=sports&sr=1-316,3.8,"1,985",₹897,"₹1,499"
"YS, Women Cotton Padded Wire Free Sports Bra Fitness Yoga Free Size (Pack of 3), Size (28-32).",sports & fitness,Running,https://m.media-amazon.com/images/I/41QBkoB3vAL._AC_UL320_.jpg,https://www.amazon.in/YS-Cotton-Padded-Fitness-BLK-PNK-GRY/dp/B0BV2TC7PY/ref=sr_1_317?qid=1679217352&s=sports&sr=1-317,5.0,10,₹499,₹899
SELLORIA - Adjustable Unisex Cap - Quick Drying Sun Hat for Activites Sports Baseball Hat for Men and Women Freesize (Pack...,sports & fitness,Running,https://m.media-amazon.com/images/I/519KYY8z4SL._AC_UL320_.jpg,https://www.amazon.in/SELLORIA-Adjustable-Activites-Baseball-Multicolour/dp/B0BT26VJJH/ref=sr_1_318?qid=1679217352&s=sports&sr=1-318,,,₹299,₹399
"ASIAN Men's Carbon-02 Sports Running,Walking & Gym Shoes with Carbon Cushion Technology Phylon Sole with Memory Form Casua...",sports & fitness,Running,https://m.media-amazon.com/images/I/81zB-7dMMHL._AC_UL320_.jpg,https://www.amazon.in/ASIAN-Carbon-02-Running-Walking-Technology/dp/B0BL395FLV/ref=sr_1_319?qid=1679217352&s=sports&sr=1-319,3.8,102,"₹1,114","₹2,299"
BlissClub Women The Ultimate Flare Pants | High-Waist | Foldable Waistband | 2 Pockets| Activewear for Women,sports & fitness,Running,https://m.media-amazon.com/images/I/314n30gvscL._AC_UL320_.jpg,https://www.amazon.in/BlissClub-Ultimate-High-waist-Waistband-Activewear/dp/B09WN5V3K2/ref=sr_1_320?qid=1679217352&s=sports&sr=1-320,4.3,417,"₹1,799","₹2,299"
Campus Men's Royce-2 Running Shoes,sports & fitness,Running,https://m.media-amazon.com/images/I/614rFiUcaNL._AC_UL320_.jpg,https://www.amazon.in/Campus-Royce-2-Running-Shoes-8-CG-248/dp/B07NQWFWFJ/ref=sr_1_321?qid=1679217352&s=sports&sr=1-321,4.0,"10,810",₹829,"₹1,049"
NewYouth Hat Bangtan Boys Men Women Adjustable Outdoor Sun Hat Baseball Cap,sports & fitness,Running,https://m.media-amazon.com/images/I/51-cGKckaSL._AC_UL320_.jpg,https://www.amazon.in/NEWYOUTH-Bangtan-Adjustable-Outdoor-Baseball/dp/B09BJ7Q8PC/ref=sr_1_322?qid=1679217352&s=sports&sr=1-322,4.4,115,₹389,₹999
